"","Unnamed..0","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"74",2146,1985,48039,54.1508053630862,37.8068667459089,82.7327866842414,214,0.878504672897196,0.0981308411214953,0.0233644859813084,0,0,0,119,57,28,0,0.401869158878505,0.598130841121495,0,0,0,29.167818,95.434647,46.1877719664428,28.3605553342715,75.8707721863693
"75",2147,1985,48071,68.4233099336118,57.5967504574327,85.320744915202,365,0.635616438356164,0.145205479452055,0.112328767123288,0.0657534246575342,0.0410958904109589,0,244,159,43,0,0,1,0,0,0,29.703933,94.668875,46.1877719664428,28.3605553342715,75.8707721863693
"76",2148,1985,45029,69.40268369668,60.6774785876116,82.9430238174021,48,0.708333333333333,0.229166666666667,0.0625,0,0,0,150,84,37,0,0,1,0,0,0,32.83498,80.655345,46.1877719664428,28.3605553342715,75.8707721863693
"77",2149,1985,42003,47.5342827448235,29.8292654408735,78.5182174499368,364,0.0631868131868132,0.233516483516483,0.513736263736264,0.186813186813187,0.00274725274725275,0,211,197,113,0.00824175824175824,0.0247252747252747,0.0576923076923077,0.903846153846154,0,0.00549450549450549,40.46892,79.98092,46.1877719664428,28.3605553342715,75.8707721863693
"78",2150,1985,37147,57.8914169972484,42.1641739232463,85.601544273783,351,0.763532763532764,0.156695156695157,0.0740740740740741,0.0056980056980057,0,0,159,93,32,0,0,0.592592592592593,0.407407407407407,0,0,35.591065,77.372404,46.1877719664428,28.3605553342715,75.8707721863693
"79",2151,1985,21111,61.5628484824498,46.7253048102896,87.6349365171867,365,0.158904109589041,0.358904109589041,0.408219178082192,0.0712328767123288,0.00273972602739726,0,223,141,100,0.0493150684931507,0.00547945205479452,0.172602739726027,0.772602739726027,0,0,38.189533,85.657624,46.1877719664428,28.3605553342715,75.8707721863693
"80",2152,1985,42091,71.1339403864562,60.2955753390767,88.0527571547901,358,0.664804469273743,0.237430167597765,0.0698324022346369,0.0195530726256983,0.00837988826815642,0,228,100,42,0.11731843575419,0.254189944134078,0.572625698324022,0.0558659217877095,0,0,40.209999,75.370201,46.1877719664428,28.3605553342715,75.8707721863693
"81",2153,1985,34039,70.6825875464995,58.7697704207912,89.1303423775522,362,0.19060773480663,0.577348066298343,0.171270718232044,0.0469613259668508,0.0138121546961326,0,233,120,75,0.18232044198895,0.417127071823204,0.201657458563536,0.193370165745856,0,0.00552486187845304,40.659871,74.308696,46.1877719664428,28.3605553342715,75.8707721863693
"82",2154,1985,47119,62.2634274053621,46.7503457018306,89.3099664376013,365,0.726027397260274,0.238356164383562,0.0328767123287671,0.00273972602739726,0,0,155,82,31,0,0,0,1,0,0,35.615696,87.077763,46.1877719664428,28.3605553342715,75.8707721863693
"83",2155,1985,37119,70.6924835660749,59.724565939213,86.5173426651805,365,0.32054794520548,0.526027397260274,0.120547945205479,0.0301369863013699,0.00273972602739726,0,208,112,58,0.465753424657534,0.0684931506849315,0.463013698630137,0,0,0.00273972602739726,35.246862,80.833832,46.1877719664428,28.3605553342715,75.8707721863693
